Std,Run,Block,Inoculation_ratio(% RQ5),Time (h),IPTG (mM),(ug_MBE_isob)/OD,mg/L MBE,OD_48h
1,3,Day1,25.67274148,1.310792885,0.120944377,12.15316253,11.19306269,9.21
2,19,Day1,25.67274148,1.310792885,0.120944377,12.23174026,10.74558382,8.785
3,13,Day1,74.31725852,1.310792885,0.120944377,5.648743351,4.953947919,8.77
4,5,Day1,74.31725852,1.310792885,0.120944377,5.072541869,4.552606327,8.975
5,20,Day1,25.67274148,3.689207115,0.120944377,2.726778704,2.447283887,8.975
6,4,Day1,25.67274148,3.689207115,0.120944377,3.387306915,3.019784115,8.915
7,15,Day1,74.31725852,3.689207115,0.120944377,0.096562217,0.095789719,9.92
8,16,Day1,74.31725852,3.689207115,0.120944377,0.118687139,0.114177027,9.62
9,9,Day1,25.67274148,1.310792885,0.329055623,9.421865475,6.14305629,6.52
10,10,Day1,25.67274148,1.310792885,0.329055623,9.958419066,6.413221879,6.44
11,7,Day1,74.31725852,1.310792885,0.329055623,14.91345356,10.96138837,7.35
12,2,Day1,74.31725852,1.310792885,0.329055623,16.55466919,12.08490851,7.3
13,14,Day1,25.67274148,3.689207115,0.329055623,14.84550136,12.5370259,8.445
14,11,Day1,25.67274148,3.689207115,0.329055623,18.0518997,14.6671685,8.125
15,8,Day1,74.31725852,3.689207115,0.329055623,0,0,7.68
16,6,Day1,74.31725852,3.689207115,0.329055623,0,0,7.42
17,1,Day1,49.995,2.5,0.225,21.8749073,19.9171031,9.105
18,18,Day1,49.995,2.5,0.225,21.64333044,21.57840044,9.97
19,12,Day1,49.995,2.5,0.225,22.96160484,21.07875324,9.18
20,17,Day1,49.995,2.5,0.225,22.93571346,21.02058138,9.165
21,32,Day2,9.09,2.5,0.225,15.80005919,6.77822539,4.29
22,27,Day2,9.09,2.5,0.225,9.493499052,3.60278289,3.795
23,21,Day2,90.9,2.5,0.225,3.616859691,2.634882285,7.285
24,30,Day2,90.9,2.5,0.225,5.138935744,3.908160633,7.605
25,33,Day2,49.995,0.5,0.225,15.00460568,8.987758802,5.99
26,34,Day2,49.995,0.5,0.225,13.21989427,5.962172318,4.51
27,23,Day2,49.995,4.5,0.225,4.767193952,2.953276653,6.195
28,29,Day2,49.995,4.5,0.225,14.60100211,11.11866311,7.615
29,24,Day2,49.995,2.5,0.05,0,0,7.53
30,31,Day2,49.995,2.5,0.05,0,0,7.29
31,26,Day2,49.995,2.5,0.4,19.0451717,10.9033608,5.725
32,25,Day2,49.995,2.5,0.4,16.57901618,8.322666123,5.02
33,28,Day2,49.995,2.5,0.225,27.59764201,19.84270461,7.19
34,22,Day2,49.995,2.5,0.225,25.11731569,17.18024393,6.84
